"Step","Group: pythia-1b - eval_n@0.05","Group: pythia-1b - eval_n@0.05__MIN","Group: pythia-1b - eval_n@0.05__MAX","Group: pythia-410m - eval_n@0.05","Group: pythia-410m - eval_n@0.05__MIN","Group: pythia-410m - eval_n@0.05__MAX","Group: pythia-160m - eval_n@0.05","Group: pythia-160m - eval_n@0.05__MIN","Group: pythia-160m - eval_n@0.05__MAX","Group: sfirah-d15 - eval_n@0.05","Group: sfirah-d15 - eval_n@0.05__MIN","Group: sfirah-d15 - eval_n@0.05__MAX","Group: pythia-1.4b - eval_n@0.05","Group: pythia-1.4b - eval_n@0.05__MIN","Group: pythia-1.4b - eval_n@0.05__MAX","Group: sfirah-d9 - eval_n@0.05","Group: sfirah-d9 - eval_n@0.05__MIN","Group: sfirah-d9 - eval_n@0.05__MAX","Group: sfirah-d24 - eval_n@0.05","Group: sfirah-d24 - eval_n@0.05__MIN","Group: sfirah-d24 - eval_n@0.05__MAX","Group: sfirah-d21 - eval_n@0.05","Group: sfirah-d21 - eval_n@0.05__MIN","Group: sfirah-d21 - eval_n@0.05__MAX","Group: pythia-70m - eval_n@0.05","Group: pythia-70m - eval_n@0.05__MIN","Group: pythia-70m - eval_n@0.05__MAX","Group: sfirah-w1024 - eval_n@0.05","Group: sfirah-w1024 - eval_n@0.05__MIN","Group: sfirah-w1024 - eval_n@0.05__MAX","Group: sfirah-w512 - eval_n@0.05","Group: sfirah-w512 - eval_n@0.05__MIN","Group: sfirah-w512 - eval_n@0.05__MAX","Group: sfirah-w256 - eval_n@0.05","Group: sfirah-w256 - eval_n@0.05__MIN","Group: sfirah-w256 - eval_n@0.05__MAX","Group: sfirah-w128 - eval_n@0.05","Group: sfirah-w128 - eval_n@0.05__MIN","Group: sfirah-w128 - eval_n@0.05__MAX","Group: sfirah-d18 - eval_n@0.05","Group: sfirah-d18 - eval_n@0.05__MIN","Group: sfirah-d18 - eval_n@0.05__MAX","Group: sfirah-d12 - eval_n@0.05","Group: sfirah-d12 - eval_n@0.05__MIN","Group: sfirah-d12 - eval_n@0.05__MAX","Group: sfirah-d6 - eval_n@0.05","Group: sfirah-d6 - eval_n@0.05__MIN","Group: sfirah-d6 - eval_n@0.05__MAX","Group: pythia-31m - eval_n@0.05","Group: pythia-31m - eval_n@0.05__MIN","Group: pythia-31m - eval_n@0.05__MAX","Group: pythia-14m - eval_n@0.05","Group: pythia-14m - eval_n@0.05__MIN","Group: pythia-14m - eval_n@0.05__MAX"
"352557","","","","","","","14.2","11","16","","","","","","","","","","17.2","15","18","","","","9.8","9","11","12","9","14","10.4","9","11","8.2","8","9","7.6","7","8","15.6","12","17","15.8","15","16","10","10","10","8.4","8","9","8","7","9"
"353529","","","","","","","","","","34.666666666666664","22","46","","","","29.666666666666668","27","32","56.666666666666664","50","67","40","33","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"353557","","","","","","","14.2","11","16","","","","","","","","","","16.6","15","18","","","","9.8","9","11","11.6","9","14","10.4","9","11","8.8","8","9","7.4","7","8","16.4","16","17","15.8","15","16","10.2","10","11","8.4","8","9","8","7","9"
"354529","","","","","","","","","","31","22","37","","","","29","26","34","58","51","68","39.333333333333336","34","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"354557","","","","","","","14.2","11","16","","","","","","","","","","17","16","19","","","","9.8","9","11","12.2","10","14","10.4","9","11","8.4","8","9","7.4","7","8","16.4","16","17","15.8","15","16","10.2","10","11","8.4","8","9","8","7","9"
"355529","","","","","","","","","","34.333333333333336","24","43","","","","30.333333333333332","26","35","56","50","66","46","41","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"355557","","","","","","","14.2","11","16","","","","","","","","","","17","13","19","","","","9.8","9","11","12","9","15","10.4","9","11","9","9","9","7.4","7","8","16.4","16","17","15.8","15","16","10.6","10","11","8.4","8","9","8.2","7","10"
"356529","","","","","","","","","","35.666666666666664","25","45","","","","27.333333333333332","25","30","57.666666666666664","53","65","39","31","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"356557","","","","","","","14.2","11","16","","","","","","","","","","16.4","14","18","","","","10","9","11","12","9","14","10.4","9","11","8.8","8","9","7.4","7","8","16.4","16","17","15.8","15","16","10.8","10","11","8.4","8","9","8.2","7","10"
"357529","","","","","","","","","","36.333333333333336","26","45","","","","27.666666666666668","20","32","58","54","66","43","37","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"357557","","","","","","","14.2","11","16","","","","","","","","","","17","14","19","","","","9.8","9","11","12.2","9","15","10.6","9","12","8.4","8","9","7.6","7","8","15.8","15","16","15.8","15","16","10.2","10","11","8.4","8","9","8.2","7","10"
"358529","","","","","","","","","","35.666666666666664","28","43","","","","25.666666666666668","21","29","55.666666666666664","49","65","43.666666666666664","31","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"358557","","","","","","","14.4","11","16","","","","","","","","","","16.8","13","19","","","","10.2","9","11","12.6","10","15","10.6","9","12","9.2","9","10","7.6","7","8","15.8","15","16","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"359529","","","","","","","","","","35","24","44","","","","29","25","32","56.333333333333336","51","64","41.333333333333336","35","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"359557","","","","","","","14.4","11","16","","","","","","","","","","17.2","15","18","","","","10.2","9","11","12.6","11","15","10.6","9","12","8.8","8","10","7.6","7","8","15.2","12","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"360529","","","","","","","","","","35","25","42","","","","33","30","35","57.333333333333336","53","65","46","42","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"360557","","","","","","","14.4","11","16","","","","","","","","","","16.8","13","18","","","","10.2","9","11","12.6","10","15","10.8","10","12","9","8","10","7.8","7","8","15.2","11","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"361529","","","","","","","","","","35.666666666666664","25","44","","","","25.666666666666668","16","35","54","46","65","38.333333333333336","21","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"361557","","","","","","","14.4","11","16","","","","","","","","","","17.6","17","18","","","","10.4","9","11","12","10","13","10.6","9","12","9","8","10","7.8","7","8","15","11","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"362529","","","","","","","","","","31","16","40","","","","30","28","31","59","55","66","41.666666666666664","34","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"362557","","","","","","","14.4","11","16","","","","","","","","","","17.4","16","20","","","","10.4","9","11","11.8","10","13","11.2","10","12","9.2","9","10","7.8","7","8","15.2","11","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"363529","","","","","","","","","","36","28","43","","","","29.666666666666668","28","31","56.333333333333336","51","65","41.333333333333336","27","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"363557","","","","","","","14.6","11","16","","","","","","","","","","18.6","17","20","","","","10.4","9","11","12","10","13","10.6","9","11","9","8","10","7.8","7","8","15.4","11","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"364529","","","","","","","","","","35.333333333333336","25","45","","","","30.666666666666668","28","34","57.333333333333336","53","65","39","29","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"364557","","","","","","","14.6","11","16","","","","","","","","","","18.4","17","20","","","","10.4","9","11","12.2","11","13","11","9","12","9","8","10","7.8","7","8","15.4","13","16","16","16","16","11.2","11","12","8.4","8","9","8.2","7","10"
"365529","","","","","","","","","","33","16","44","","","","27","17","32","58","52","66","47","38","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"365557","","","","","","","14.6","11","16","","","","","","","","","","17.6","17","18","","","","10.4","9","11","12.2","11","13","11.2","10","12","9","9","9","7.6","7","8","15.4","13","17","16","16","16","11","11","11","8.4","8","9","8.2","7","10"
"366529","","","","","","","","","","36","31","40","","","","26.333333333333332","21","31","57.666666666666664","53","65","44.666666666666664","33","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"366557","","","","","","","14.6","11","16","","","","","","","","","","18","17","19","","","","10.4","9","11","11.4","10","13","11.2","10","12","9.2","9","10","7.4","7","8","15.8","15","17","15.8","15","16","11.2","11","12","8.4","8","9","8.2","7","10"
"367529","","","","","","","","","","36.666666666666664","29","42","","","","30","23","37","56","51","66","44","34","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"367557","","","","","","","14.6","11","16","","","","","","","","","","18","17","19","","","","10.4","9","11","11.6","10","13","11.2","10","12","9.2","9","10","7.8","7","8","15.4","14","16","15.8","15","16","10.8","10","11","8.4","8","9","8.2","7","10"
"368529","","","","","","","","","","35.333333333333336","20","46","","","","30","25","34","58","51","64","44.666666666666664","37","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"368557","","","","","","","14.8","12","16","","","","","","","","","","17.8","17","19","","","","10.4","9","11","12","9","13","11","10","12","9.2","9","10","7.8","7","8","16.4","16","17","15.8","15","16","11","11","11","8.4","8","9","8.2","7","10"
"369529","","","","","","","","","","36.666666666666664","26","44","","","","31.666666666666668","26","35","58.333333333333336","52","66","36.666666666666664","19","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"369557","","","","","","","15","12","17","","","","","","","","","","18.4","17","20","","","","10.4","9","11","12.6","11","14","11.2","10","12","9.2","9","10","7.6","7","8","16.8","14","19","15.8","15","16","11.2","11","12","8.4","8","9","8.2","7","10"
"370529","","","","","","","","","","39.333333333333336","30","45","","","","29.666666666666668","27","34","56.666666666666664","52","64","43.666666666666664","36","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"370557","","","","","","","15","12","16","","","","","","","","","","18","17","19","","","","10.4","9","11","12.8","12","14","11","9","12","9.2","9","10","7.8","7","8","16.2","15","17","15.8","15","16","11","11","11","8.6","8","9","8.4","7","10"
"371529","","","","","","","","","","36.666666666666664","28","43","","","","25.666666666666668","22","29","59.666666666666664","56","66","35.666666666666664","18","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"371557","","","","","","","15","12","16","","","","","","","","","","17.6","17","19","","","","10.4","9","11","12.4","11","13","11.2","10","12","9.2","9","10","7.8","7","8","15.2","12","16","16","16","16","11.2","11","12","8.4","8","9","8.2","7","10"
"372529","","","","","","","","","","36.666666666666664","33","39","","","","30","28","33","60","55","67","43.333333333333336","35","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"372557","","","","","","","15.2","12","17","","","","","","","","","","17.4","16","19","","","","10.4","9","11","12.6","11","14","11.2","10","12","9.2","9","10","7.8","7","8","15","11","16","15.8","15","16","11.2","11","12","8.4","8","9","8.4","7","10"
"373529","","","","","","","","","","35.333333333333336","23","45","","","","27.666666666666668","24","32","58.666666666666664","54","64","38.333333333333336","26","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"373557","","","","","","","15.2","12","17","","","","","","","","","","17.6","17","19","","","","10.6","9","12","12.4","10","13","11.2","10","12","9","8","10","7.6","7","8","15.2","10","17","16","16","16","11.2","11","12","8.6","8","9","8.4","7","10"
"374529","","","","","","","","","","38.666666666666664","33","43","","","","29.333333333333332","27","32","53.333333333333336","50","56","40","30","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374557","","","","","","","15.2","12","17","","","","","","","","","","17.2","16","19","","","","10.6","9","12","12.4","10","14","11.2","10","12","9.2","9","10","7.6","7","8","16","14","17","15.8","15","16","11.8","11","12","9","8","10","8.4","7","10"
"375529","","","","","","","","","","37.333333333333336","33","43","","","","28.666666666666668","26","31","59.666666666666664","57","64","40","21","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"375557","","","","","","","15","12","16","","","","","","","","","","17.4","17","19","","","","10.6","9","12","13","12","14","11.2","10","13","9.2","9","10","7.8","7","8","16.4","15","19","15.8","15","16","11.4","11","12","8.8","8","10","8.4","7","10"
"376529","","","","","","","","","","36.666666666666664","27","46","","","","23.333333333333332","6","36","58.333333333333336","55","64","43","35","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"376557","","","","","","","15.2","12","17","","","","","","","","","","17.6","16","19","","","","10.8","9","12","12.6","11","14","11.2","10","12","9","9","9","7.8","7","8","15.8","14","17","16","16","16","11.6","11","12","8.6","8","10","8.4","7","10"
"377529","","","","","","","","","","40.333333333333336","31","49","","","","25.333333333333332","11","33","58","52","65","40","26","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"377557","","","","","","","15","12","16","","","","","","","","","","18","17","19","","","","10.8","9","12","12.4","11","13","10","3","13","9.2","9","10","7.8","7","8","16.6","16","18","16","16","16","12","12","12","9","8","10","8.4","7","10"
"378529","","","","","","","","","","35.666666666666664","22","48","","","","27.666666666666668","16","37","43.666666666666664","17","59","42.666666666666664","34","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378557","","","","","","","15","12","16","","","","","","","","","","17.4","16","19","","","","10.8","9","12","12.4","9","14","9.8","3","13","9","8","10","7.8","7","8","16.6","16","17","16","16","16","11.8","11","12","8.6","8","10","8.4","7","10"
"379529","","","","","","","","","","36.333333333333336","27","42","","","","28.666666666666668","18","34","60.666666666666664","56","68","38","29","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"379557","","","","","","","15.4","12","17","","","","","","","","","","17.8","17","19","","","","10.8","9","12","12.6","12","13","10.4","6","12","9.2","9","10","7.6","7","8","16.8","16","18","15.8","15","16","11.4","11","12","8.8","8","10","8.4","7","10"
"380529","","","","","","","","","","39","31","47","","","","30.666666666666668","22","38","60","57","65","39","35","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"380557","","","","","","","15.4","12","17","","","","","","","","","","17.4","16","18","","","","10.8","9","12","11.8","9","13","11.4","10","13","9.2","9","10","7.6","7","8","16","15","17","16","16","16","11.8","11","12","9","8","10","8.4","7","10"
"381529","","","","","","","","","","37","21","47","","","","35.333333333333336","33","37","61.333333333333336","57","68","33.666666666666664","21","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"381557","","","","","","","15.2","12","17","","","","","","","","","","17.6","17","19","","","","10.8","9","12","12.8","11","14","11","8","13","9.2","9","10","7.8","7","8","16.8","16","18","15.8","15","16","11.8","11","12","9","8","10","8.4","7","10"
"382529","","","","","","","","","","39.333333333333336","28","48","","","","36.666666666666664","35","39","59.666666666666664","53","68","41.666666666666664","34","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"382557","","","","","","","15.2","12","17","","","","","","","","","","17.4","17","19","","","","10.8","9","12","13","12","14","11","8","13","9.2","9","10","7.8","7","8","16.4","16","17","15.8","15","16","12","12","12","9","8","10","8.4","7","10"
"383529","","","","","","","","","","38.666666666666664","33","43","","","","34.333333333333336","31","38","61.666666666666664","58","68","38.333333333333336","29","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"383557","","","","","","","15.6","12","17","","","","","","","","","","17.4","17","18","","","","10.8","9","12","12.6","11","14","10.8","8","12","9.2","9","10","7.8","7","8","16.6","16","18","15.8","15","16","11.8","11","13","9","8","10","8.4","7","10"
"384529","","","","","","","","","","39","31","47","","","","35.666666666666664","32","39","57.666666666666664","46","67","44.333333333333336","37","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"384557","","","","","","","15.2","12","17","","","","","","","","","","17.8","17","18","","","","10.8","9","12","12.8","12","14","11.2","9","13","9.2","9","10","7.8","7","8","16","15","17","16","16","16","11.8","11","12","9","8","10","8.4","7","10"
"385529","","","","","","","","","","38.333333333333336","30","45","","","","35.666666666666664","35","37","59.333333333333336","52","67","43.333333333333336","26","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"385557","","","","","","","15.2","12","17","","","","","","","","","","17.8","17","18","","","","10.8","9","12","13.2","12","14","11.4","10","13","9.2","9","10","7.8","7","8","16.2","15","17","16","16","16","11.6","11","12","9","8","10","8.4","7","10"
"386529","","","","","","","","","","39.666666666666664","31","45","","","","33.666666666666664","30","36","59.666666666666664","56","65","42","31","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"386557","","","","","","","15.4","12","17","","","","","","","","","","17.4","17","18","","","","10.8","9","12","13","12","14","11.4","10","13","9","8","10","7.8","7","8","15.2","11","17","16","16","16","11.6","11","12","9","8","10","8.4","7","10"
"387529","","","","","","","","","","38","25","48","","","","32.333333333333336","28","37","60","55","65","31.333333333333332","17","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"387557","","","","","","","15.8","13","17","","","","","","","","","","17.6","17","18","","","","11.2","9","13","12.8","12","14","11.6","11","13","9","8","10","7.8","7","8","16.2","14","17","16","16","16","11.8","11","12","9","8","10","8.4","7","10"
"388529","","","","","","","","","","37.333333333333336","26","44","","","","35","34","36","62.333333333333336","59","67","42","34","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"388557","","","","","","","15.8","13","17","","","","","","","","","","18","16","19","","","","11.2","9","13","13","12","14","11.4","11","13","9","8","10","7.8","7","8","16.2","16","17","15.8","15","16","12","12","12","9","8","10","8.4","7","10"
"389529","","","","","","","","","","39.333333333333336","29","48","","","","31.666666666666668","26","36","61","57","66","34.666666666666664","18","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"389557","","","","","","","15.8","13","17","","","","","","","","","","17","17","17","","","","11.2","9","13","12.8","11","14","11.4","10","13","9.2","9","10","7.8","7","8","16.2","15","17","15.8","15","16","12","12","12","9","8","10","8.6","7","10"
"390529","","","","","","","","","","38","28","46","","","","32.333333333333336","30","34","62.333333333333336","57","69","46.666666666666664","39","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"390557","","","","","","","15.8","13","17","","","","","","","","","","17.4","17","18","","","","11.2","9","13","13.4","13","14","11.4","11","12","9.2","9","10","7.8","7","8","15.4","13","17","16","16","16","12","12","12","9","8","10","8.4","7","10"
"391557","","","","","","","15.8","13","17","","","","","","","","","","17.2","16","18","","","","11.4","9","13","13","12","14","11.8","11","13","9.2","9","10","7.8","7","8","16.2","15","17","16","16","16","11.8","11","12","9","8","10","8.6","7","10"
"391654","","","","","","","","","","36.333333333333336","33","40","","","","26.333333333333332","23","31","71","55","91","40.333333333333336","23","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"392557","","","","","","","16","13","17","","","","","","","","","","17.2","17","18","","","","11.4","9","13","13.4","12","14","11.6","11","13","9","8","10","7.8","7","8","16.2","15","17","16","16","16","11.8","11","12","9","8","10","8.6","7","10"
"392654","","","","","","","","","","38.666666666666664","35","44","","","","26.666666666666668","24","28","66.66666666666667","61","72","45.333333333333336","33","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"393557","","","","","","","15.8","13","17","","","","","","","","","","17.4","17","18","","","","11.4","9","13","13.6","13","14","11.6","11","13","9.2","9","10","7.8","7","8","16.2","16","17","16","16","16","12","12","12","9","8","10","8.6","7","10"
"393654","","","","","","","","","","36.333333333333336","26","48","","","","26","23","29","76.33333333333333","62","88","42.666666666666664","29","65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"394557","","","","","","","16","13","17","","","","","","","","","","17","17","17","","","","11.4","9","13","13.4","12","14","12","11","13","9","8","10","7.8","7","8","16","15","17","15.8","15","16","11.8","11","12","9","8","10","8.6","7","10"
"394654","","","","","","","","","","35.666666666666664","27","45","","","","26.333333333333332","26","27","78.33333333333333","71","93","34.666666666666664","0","73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"395557","","","","","","","15.8","13","17","","","","","","","","","","17.4","17","18","","","","11.8","10","13","13.4","12","14","11.8","11","13","9.4","9","10","7.6","7","8","15.6","12","17","16","16","16","12.2","12","13","9","8","10","8.6","7","10"
"395654","","","","","","","","","","35","26","44","","","","25.333333333333332","21","29","80.66666666666667","65","105","44.333333333333336","21","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"396557","","","","","","","16","13","17","","","","","","","","","","16.6","15","18","","","","11.8","10","13","13.6","13","14","12","11","13","9","8","10","7.8","7","8","14.8","9","17","16","16","16","12","12","12","9","8","10","8.6","7","10"
"396654","","","","","","","","","","33.666666666666664","27","40","","","","26","22","29","80.33333333333333","65","101","42","28","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"397557","","","","","","","16","13","17","","","","","","","","","","17.2","17","18","","","","11.8","10","13","13.4","11","14","12","11","13","9","8","10","7.6","7","8","16","15","17","15.8","15","16","11.8","11","12","9","8","10","8.6","7","10"
"397654","","","","","","","","","","35.666666666666664","25","48","","","","26","24","29","85","74","100","45.333333333333336","25","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"398557","","","","","","","16","13","17","","","","","","","","","","17.4","17","18","","","","11.8","10","13","13.4","12","14","12","11","13","9","8","10","7.6","7","8","15.4","12","17","15.8","15","16","12","11","13","9","8","10","8.6","7","10"
"398654","","","","","","","","","","36.666666666666664","27","46","","","","26","24","27","82.33333333333333","63","112","39.333333333333336","21","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"399557","","","","","","","16","13","17","","","","","","","","","","17","17","17","","","","11.8","10","13","13.6","13","14","12.4","12","13","9","8","10","7.6","7","8","16.6","16","19","16","16","16","12","11","13","9.2","8","11","8.6","7","10"
"399654","","","","","","","","","","32","15","45","","","","28.333333333333332","23","33","80.66666666666667","70","95","47","34","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400557","","","","","","","16","14","17","","","","","","","","","","14.8","7","17","","","","11.8","10","13","13.8","13","14","12.2","11","13","9.2","8","10","7.8","7","8","15.8","15","16","16","16","16","11.8","11","12","9.2","8","11","8.6","7","10"
"400654","","","","","","","","","","35.333333333333336","27","44","","","","29","27","31","86.66666666666667","66","118","47","26","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"401557","","","","","","","16.2","14","17","","","","","","","","","","17.6","17","19","","","","11.8","10","13","13.6","13","14","12.4","12","13","9.2","8","10","7.8","7","8","16","16","16","16","16","16","12.6","12","13","9.2","8","11","8.6","7","10"
"401654","","","","","","","","","","34.666666666666664","23","44","","","","29","28","30","82.33333333333333","57","120","44.666666666666664","20","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402557","","","","","","","16.2","14","17","","","","","","","","","","17.6","17","19","","","","11.8","10","13","13.6","13","14","12.2","12","13","9","8","10","7.8","7","8","16","16","16","16","16","16","12.4","11","13","9.2","8","11","8.6","7","10"
"402654","","","","","","","","","","31.666666666666668","22","37","","","","30.333333333333332","28","33","91","73","119","30.666666666666668","1","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"403557","","","","","","","16.2","14","17","","","","","","","","","","18.2","17","19","","","","11.8","10","13","13.8","13","14","12.4","12","13","9.2","8","10","7.8","7","8","16.4","16","17","15.8","15","16","12.4","11","13","9.4","8","11","8.6","7","10"
"403654","","","","","","","","","","37.333333333333336","27","48","","","","30","25","34","90.33333333333333","63","125","48.666666666666664","31","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"404557","","","","","","","16","14","17","","","","","","","","","","18","17","20","","","","11.8","10","13","13.6","13","14","12.4","12","13","9.2","8","10","7.8","7","8","15.2","11","17","16","15","17","12.2","11","13","9.4","8","11","8.6","7","10"
"404654","","","","","","","","","","39","31","47","","","","33","31","36","82.66666666666667","76","90","46.333333333333336","23","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"405557","","","","","","","16.2","14","17","","","","","","","","","","17.8","17","19","","","","11.8","10","13","13.6","13","14","12.6","12","14","9.2","8","10","7.6","7","8","16.4","16","18","16","16","16","12.2","11","13","9.4","8","11","8.6","7","10"
"405654","","","","","","","","","","34.666666666666664","26","40","","","","33.333333333333336","31","35","91","73","120","41.333333333333336","28","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"406557","","","","","","","16.2","14","17","","","","","","","","","","17.4","17","18","","","","11.8","10","13","13.6","13","14","12.4","12","13","9.2","8","10","7.6","7","8","15.6","13","17","15.8","15","16","12.6","11","13","9.4","8","11","8.6","7","10"
"406654","","","","","","","","","","36","27","43","","","","30.333333333333332","27","34","90.66666666666667","68","127","41","23","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"407557","","","","","","","16.2","14","17","","","","","","","","","","17.2","17","18","","","","11.8","10","13","13.2","12","14","12.4","12","13","9.4","8","10","7.6","7","8","16.4","16","18","15.8","15","16","12.2","10","13","9.4","8","11","8.6","7","10"
"407654","","","","","","","","","","39.333333333333336","32","49","","","","27.333333333333332","27","28","99.66666666666667","83","128","46.666666666666664","29","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"408557","","","","","","","16.2","14","17","","","","","","","","","","18","17","19","","","","12","10","13","13.4","12","14","12.2","11","14","9.2","8","10","7.6","7","8","16.4","16","17","16","16","16","12.2","10","13","9.4","8","11","8.6","7","10"
"408654","","","","","","","","","","37.333333333333336","31","43","","","","33.333333333333336","32","35","89","68","127","41.333333333333336","22","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"409557","","","","","","","16.2","14","17","","","","","","","","","","15.8","9","18","","","","12","10","13","13","12","14","12.2","11","13","9","8","10","7.8","7","8","16.4","16","18","16","16","16","12","10","13","9.4","8","11","8.6","7","10"
"409654","","","","","","","","","","34","12","50","","","","29.333333333333332","26","33","88.66666666666667","69","126","46.666666666666664","32","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"410557","","","","","","","16.2","14","17","","","","","","","","","","17.4","16","18","","","","12","10","13","13.2","12","14","12.8","12","14","9.2","8","10","7.6","7","8","16.6","16","18","16","16","16","11.8","10","13","9.4","8","11","8.6","7","10"
"410654","","","","","","","","","","36.333333333333336","28","43","","","","28","27","29","91.33333333333333","78","115","51","25","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"411557","","","","","","","16.2","14","17","","","","","","","","","","18","17","19","","","","12","10","13","13.2","12","14","12","11","13","9.4","8","10","7.8","7","8","16.2","16","17","16","16","16","12","10","13","9.4","8","11","8.6","7","10"
"411654","","","","","","","","","","38.333333333333336","31","46","","","","30","29","31","84","82","87","45.666666666666664","22","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"412557","","","","","","","16.2","14","17","","","","","","","","","","17.8","17","18","","","","12","10","13","13","11","14","12","11","13","9.6","9","10","7.8","7","8","15.2","12","16","16","16","16","12","10","13","9.4","8","11","8.6","7","10"
"412654","","","","","","","","","","37.666666666666664","30","46","","","","30.666666666666668","26","34","85.33333333333333","79","93","52","33","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"413557","","","","","","","16.2","14","17","","","","","","","","","","18","16","20","","","","12","10","13","13.2","12","14","12.2","11","13","9.6","9","10","7.8","7","8","15.6","13","17","15.8","15","16","12.2","10","13","9.4","8","11","8.6","7","10"
"413654","","","","","","","","","","34","24","45","","","","29.333333333333332","29","30","94.33333333333333","74","124","48.666666666666664","29","81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"414557","","","","","","","16.2","14","17","","","","","","","","","","17.2","17","18","","","","12","10","13","13.4","12","15","12.2","11","13","9.4","8","10","7.6","7","8","15.2","11","17","16","16","16","12","10","13","9.4","8","11","8.6","7","10"
"414654","","","","","","","","","","40","34","46","","","","27.333333333333332","27","28","92.66666666666667","79","116","39.666666666666664","21","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"415557","","","","","","","16.2","14","17","","","","","","","","","","18","17","19","","","","12","10","13","13","10","14","12.8","12","14","9.4","8","10","7.6","7","8","16.4","15","17","15.8","15","16","12.2","10","13","9.4","8","11","8.8","7","11"
